测点编号|监测时间|应变值(με)|温度(℃)
S-SA-AL1|2017-05-18 08:48:00|-354|33
S-SA-AL1|2017-05-18 08:48:14|-377|32
S-SA-AL1|2017-05-18 08:48:28|-400|30
S-SA-AL1|2017-05-18 08:48:42|-406|30
S-SA-AL1|2017-05-18 08:48:56|-340|32
S-SA-AL1|2017-05-18 08:49:10|-363|32
S-SA-AL1|2017-05-18 08:49:24|-383|34
S-SA-AL1|2017-05-18 08:49:38|-405|32
S-SA-AL1|2017-05-18 08:49:52|-425|32
S-SA-AL1|2017-05-18 08:50:06|-261|33
S-SA-AL1|2017-05-18 08:50:20|-288|34
S-SA-AL1|2017-05-18 08:50:34|-310|32
S-SA-AL1|2017-05-18 08:50:48|-310|34
S-SA-AL1|2017-05-18 08:51:02|-330|32
S-SA-AL1|2017-05-18 08:51:16|-445|33
S-SA-AL1|2017-05-18 08:51:30|-276|33
S-SA-AL1|2017-05-18 08:51:44|-402|30
S-SA-AL1|2017-05-18 08:51:58|-430|30
S-SA-AL1|2017-05-18 08:52:12|-366|32
S-SA-AL1|2017-05-18 08:52:26|-289|34
S-SA-AL1|2017-05-18 08:52:40|-316|30
S-SA-AL1|2017-05-18 08:52:53|-342|31
S-SA-AL1|2017-05-18 08:53:08|-358|30
S-SA-AL1|2017-05-18 08:53:21|-379|30
S-SA-AL1|2017-05-18 08:53:35|-411|32
S-SA-AL1|2017-05-18 08:53:49|-337|31
S-SA-AL1|2017-05-18 08:54:03|-271|33
S-SA-AL1|2017-05-18 08:54:17|-293|30
S-SA-AL1|2017-05-18 08:54:31|-411|34
S-SA-AL1|2017-05-18 08:54:45|-433|31
S-SA-AL1|2017-05-18 08:54:59|-363|34
S-SA-AL1|2017-05-18 08:55:13|-297|31
S-SA-AL1|2017-05-18 08:55:27|-319|33
S-SA-AL1|2017-05-18 08:55:41|-343|32
S-SA-AL1|2017-05-18 08:55:54|-269|31
S-SA-AL1|2017-05-18 08:56:08|-286|32
S-SA-AL1|2017-05-18 08:56:22|-405|30
S-SA-AL1|2017-05-18 08:56:36|-339|34
S-SA-AL1|2017-05-18 08:56:50|-270|32
S-SA-AL1|2017-05-18 08:57:04|-296|31
S-SA-AL1|2017-05-18 08:57:18|-418|33
S-SA-AL1|2017-05-18 08:57:32|-446|34
S-SA-AL1|2017-05-18 08:57:45|-289|34
S-SA-AL1|2017-05-18 08:57:59|-415|30
S-SA-AL1|2017-05-18 08:58:13|-353|31
S-SA-AL1|2017-05-18 08:58:27|-387|33
S-SA-AL1|2017-05-18 08:58:41|-395|34
S-SA-AL1|2017-05-18 08:58:55|-408|30
S-SA-AL1|2017-05-18 08:59:09|-339|33
S-SA-AL1|2017-05-18 08:59:23|-262|30
S-SA-AL1|2017-05-18 08:59:36|-388|31
S-SA-AL1|2017-05-18 08:59:50|-421|31
S-SA-AL1|2017-05-18 09:00:05|-396|33
S-SA-AL1|2017-05-18 09:00:20|-278|31
S-SA-AL1|2017-05-18 09:00:34|-366|32
S-SA-AL1|2017-05-18 09:00:48|-316|34
S-SA-AL1|2017-05-18 09:01:02|-267|31
S-SA-AL1|2017-05-18 09:01:15|-357|34
S-SA-AL1|2017-05-18 09:01:29|-381|33
S-SA-AL1|2017-05-18 09:01:43|-330|34
S-SA-AL1|2017-05-18 09:01:57|-280|31
S-SA-AL1|2017-05-18 09:02:11|-304|31
S-SA-AL1|2017-05-18 09:02:24|-326|34
S-SA-AL1|2017-05-18 09:02:38|-346|30
S-SA-AL1|2017-05-18 09:02:52|-370|32
S-SA-AL1|2017-05-18 09:03:06|-382|31
S-SA-AL1|2017-05-18 09:03:20|-335|32
S-SA-AL1|2017-05-18 09:03:34|-268|32
S-SA-AL1|2017-05-18 09:03:48|-361|33
S-SA-AL1|2017-05-18 09:04:02|-376|34
S-SA-AL1|2017-05-18 09:04:16|-328|30
S-SA-AL1|2017-05-18 09:04:30|-340|32
S-SA-AL1|2017-05-18 09:04:44|-364|31
S-SA-AL1|2017-05-18 09:04:57|-313|34
S-SA-AL1|2017-05-18 09:05:11|-334|30
S-SA-AL1|2017-05-18 09:05:25|-287|31
S-SA-AL1|2017-05-18 09:05:39|-308|32
S-SA-AL1|2017-05-18 09:05:53|-328|30
S-SA-AL1|2017-05-18 09:06:07|-276|31
S-SA-AL1|2017-05-18 09:06:20|-366|33
S-SA-AL1|2017-05-18 09:06:34|-318|33
S-SA-AL1|2017-05-18 09:06:48|-267|33
S-SA-AL1|2017-05-18 09:07:02|-290|30
S-SA-AL1|2017-05-18 09:07:16|-307|32
S-SA-AL1|2017-05-18 09:07:31|-297|30
S-SA-AL1|2017-05-18 09:07:45|-373|32
S-SA-AL1|2017-05-18 09:08:00|-357|32
S-SA-AL1|2017-05-18 09:08:14|-371|32
S-SA-AL1|2017-05-18 09:08:31|-372|34
S-SA-AL1|2017-05-18 09:08:54|-395|30
S-SA-AL1|2017-05-18 09:09:13|-339|33
S-SA-AL1|2017-05-18 09:09:27|-265|33
S-SA-AL1|2017-05-18 09:09:41|-348|32
S-SA-AL1|2017-05-18 09:09:55|-364|32
S-SA-AL1|2017-05-18 09:10:09|-378|33
S-SA-AL1|2017-05-18 09:10:23|-393|30
S-SA-AL1|2017-05-18 09:10:37|-340|34
S-SA-AL1|2017-05-18 09:10:51|-357|31
S-SA-AL1|2017-05-18 09:11:05|-303|34
S-SA-AL1|2017-05-18 09:11:19|-391|30
S-SA-AL1|2017-05-18 09:11:33|-326|32
S-SA-AL1|2017-05-18 09:11:47|-345|33
S-SA-AL1|2017-05-18 09:12:01|-293|31
S-SA-AL1|2017-05-18 09:12:15|-377|30
S-SA-AL1|2017-05-18 09:12:29|-397|34
S-SA-AL1|2017-05-18 09:12:43|-335|30
S-SA-AL1|2017-05-18 09:12:57|-278|32
S-SA-AL1|2017-05-18 09:13:11|-364|33
S-SA-AL1|2017-05-18 09:13:25|-381|32
S-SA-AL1|2017-05-18 09:13:39|-332|32
S-SA-AL1|2017-05-18 09:13:53|-385|31
S-SA-AL1|2017-05-18 09:14:07|-266|34
S-SA-AL1|2017-05-18 09:14:21|-289|32
S-SA-AL1|2017-05-18 09:14:35|-374|33
S-SA-AL1|2017-05-18 09:14:49|-388|34
S-SA-AL1|2017-05-18 09:15:03|-397|30
S-SA-AL1|2017-05-18 09:15:17|-346|33
S-SA-AL1|2017-05-18 09:15:31|-362|30
S-SA-AL1|2017-05-18 09:15:45|-310|31
S-SA-AL1|2017-05-18 09:15:59|-329|32
S-SA-AL1|2017-05-18 09:16:13|-335|33
S-SA-AL1|2017-05-18 09:16:27|-351|33
S-SA-AL1|2017-05-18 09:16:41|-298|31
S-SA-AL1|2017-05-18 09:16:55|-314|33
S-SA-AL1|2017-05-18 09:17:09|-334|32
S-SA-AL1|2017-05-18 09:17:23|-339|33
S-SA-AL1|2017-05-18 09:17:37|-282|30
S-SA-AL1|2017-05-18 09:17:51|-374|34
S-SA-AL1|2017-05-18 09:18:05|-323|34
S-SA-AL1|2017-05-18 09:18:19|-397|31
S-SA-AL1|2017-05-18 09:18:33|-344|32
S-SA-AL1|2017-05-18 09:18:47|-293|34
S-SA-AL1|2017-05-18 09:19:01|-313|31
S-SA-AL1|2017-05-18 09:19:15|-328|31
S-SA-AL1|2017-05-18 09:19:29|-279|30
S-SA-AL1|2017-05-18 09:19:43|-364|34
S-SA-AL1|2017-05-18 09:19:56|-384|30
S-SA-AL1|2017-05-18 09:20:11|-331|33
S-SA-AL1|2017-05-18 09:20:25|-337|34
S-SA-AL1|2017-05-18 09:20:39|-281|31
S-SA-AL1|2017-05-18 09:20:53|-301|34
S-SA-AL1|2017-05-18 09:21:07|-315|32
S-SA-AL1|2017-05-18 09:21:20|-264|32
S-SA-AL1|2017-05-18 09:21:34|-355|34
S-SA-AL1|2017-05-18 09:21:48|-373|31
S-SA-AL1|2017-05-18 09:22:02|-320|34
S-SA-AL1|2017-05-18 09:22:16|-336|31
S-SA-AL1|2017-05-18 09:22:30|-285|32
S-SA-AL1|2017-05-18 09:22:44|-308|32
S-SA-AL1|2017-05-18 09:22:58|-386|33
S-SA-AL1|2017-05-18 09:23:12|-334|31
S-SA-AL1|2017-05-18 09:23:26|-347|32
S-SA-AL1|2017-05-18 09:23:40|-356|31
S-SA-AL1|2017-05-18 09:23:54|-299|30
S-SA-AL1|2017-05-18 09:24:08|-307|30
S-SA-AL1|2017-05-18 09:24:23|-392|34
S-SA-AL1|2017-05-18 09:24:37|-390|30
S-SA-AL1|2017-05-18 09:24:51|-332|34
S-SA-AL1|2017-05-18 09:25:05|-277|33
S-SA-AL1|2017-05-18 09:25:19|-297|32
S-SA-AL1|2017-05-18 09:25:32|-385|30
S-SA-AL1|2017-05-18 09:25:46|-338|31
S-SA-AL1|2017-05-18 09:26:00|-362|34
S-SA-AL1|2017-05-18 09:26:14|-384|32
S-SA-AL1|2017-05-18 09:26:28|-336|33
S-SA-AL1|2017-05-18 09:26:42|-352|33
S-SA-AL1|2017-05-18 09:26:55|-373|34
S-SA-AL1|2017-05-18 09:27:09|-395|32
S-SA-AL1|2017-05-18 09:27:23|-348|33
S-SA-AL1|2017-05-18 09:27:37|-369|31
S-SA-AL1|2017-05-18 09:27:51|-325|32
S-SA-AL1|2017-05-18 09:28:04|-270|31
S-SA-AL1|2017-05-18 09:28:18|-295|31
S-SA-AL1|2017-05-18 09:28:32|-388|32
S-SA-AL1|2017-05-18 09:28:46|-269|30
S-SA-AL1|2017-05-18 09:28:59|-363|34
S-SA-AL1|2017-05-18 09:29:13|-314|31
S-SA-AL1|2017-05-18 09:29:27|-264|33
S-SA-AL1|2017-05-18 09:29:41|-289|30
S-SA-AL1|2017-05-18 09:29:55|-311|33
S-SA-AL1|2017-05-18 09:30:08|-263|30
S-SA-AL1|2017-05-18 09:30:22|-347|34
S-SA-AL1|2017-05-18 09:30:36|-365|31
S-SA-AL1|2017-05-18 09:30:50|-314|33
S-SA-AL1|2017-05-18 09:31:04|-330|31
S-SA-AL1|2017-05-18 09:31:18|-349|32
S-SA-AL1|2017-05-18 09:31:32|-298|30
S-SA-AL1|2017-05-18 09:31:46|-318|33
S-SA-AL1|2017-05-18 09:32:00|-338|32
S-SA-AL1|2017-05-18 09:32:14|-284|33
S-SA-AL1|2017-05-18 09:32:27|-307|33
S-SA-AL1|2017-05-18 09:32:41|-396|33
S-SA-AL1|2017-05-18 09:32:55|-345|33
S-SA-AL1|2017-05-18 09:33:09|-365|32
S-SA-AL1|2017-05-18 09:33:23|-314|32
S-SA-AL1|2017-05-18 09:33:37|-334|31
S-SA-AL1|2017-05-18 09:33:51|-271|32
S-SA-AL1|2017-05-18 09:34:05|-360|32
S-SA-AL1|2017-05-18 09:34:19|-309|32
S-SA-AL1|2017-05-18 09:34:32|-261|32
S-SA-AL1|2017-05-18 09:34:46|-352|33
S-SA-AL1|2017-05-18 09:35:00|-301|31
S-SA-AL1|2017-05-18 09:35:14|-318|31
S-SA-AL1|2017-05-18 09:35:28|-338|34
S-SA-AL1|2017-05-18 09:35:42|-349|31
S-SA-AL1|2017-05-18 09:35:56|-297|31
S-SA-AL1|2017-05-18 09:36:10|-307|30
S-SA-AL1|2017-05-18 09:36:24|-394|34
S-SA-AL1|2017-05-18 09:36:38|-342|34
S-SA-AL1|2017-05-18 09:36:52|-357|34
S-SA-AL1|2017-05-18 09:37:06|-377|33
S-SA-AL1|2017-05-18 09:37:20|-395|32
S-SA-AL1|2017-05-18 09:37:33|-278|30
S-SA-AL1|2017-05-18 09:37:47|-366|33
S-SA-AL1|2017-05-18 09:38:01|-315|33
S-SA-AL1|2017-05-18 09:38:15|-264|31
S-SA-AL1|2017-05-18 09:38:29|-352|33
S-SA-AL1|2017-05-18 09:38:43|-304|33
S-SA-AL1|2017-05-18 09:38:57|-386|32
S-SA-AL1|2017-05-18 09:39:11|-263|32
S-SA-AL1|2017-05-18 09:39:25|-277|30
S-SA-AL1|2017-05-18 09:39:39|-361|31
S-SA-AL1|2017-05-18 09:39:53|-313|33
S-SA-AL1|2017-05-18 09:40:07|-329|30
S-SA-AL1|2017-05-18 09:40:20|-281|32
S-SA-AL1|2017-05-18 09:40:34|-370|32
S-SA-AL1|2017-05-18 09:40:48|-314|34
S-SA-AL1|2017-05-18 09:41:02|-330|34
S-SA-AL1|2017-05-18 09:41:16|-353|34
S-SA-AL1|2017-05-18 09:41:30|-301|32
S-SA-AL1|2017-05-18 09:41:44|-386|31
S-SA-AL1|2017-05-18 09:41:58|-337|31
S-SA-AL1|2017-05-18 09:42:12|-355|32
S-SA-AL1|2017-05-18 09:42:25|-303|30
S-SA-AL1|2017-05-18 09:42:39|-322|34
S-SA-AL1|2017-05-18 09:42:53|-341|30
S-SA-AL1|2017-05-18 09:43:07|-287|31
S-SA-AL1|2017-05-18 09:43:21|-305|33
S-SA-AL1|2017-05-18 09:43:35|-390|30
S-SA-AL1|2017-05-18 09:43:49|-337|30
S-SA-AL1|2017-05-18 09:44:03|-354|32
S-SA-AL1|2017-05-18 09:44:17|-297|34
S-SA-AL1|2017-05-18 09:44:31|-304|34
S-SA-AL1|2017-05-18 09:44:45|-321|32
S-SA-AL1|2017-05-18 09:44:59|-340|33
S-SA-AL1|2017-05-18 09:45:13|-356|33
S-SA-AL1|2017-05-18 09:45:27|-372|30
S-SA-AL1|2017-05-18 09:45:41|-376|31
S-SA-AL1|2017-05-18 09:45:55|-391|33
S-SA-AL1|2017-05-18 09:46:09|-262|33
S-SA-AL1|2017-05-18 09:46:23|-349|33
S-SA-AL1|2017-05-18 09:46:37|-366|30
S-SA-AL1|2017-05-18 09:46:51|-376|34
S-SA-AL1|2017-05-18 09:47:05|-324|30
S-SA-AL1|2017-05-18 09:47:19|-343|34
S-SA-AL1|2017-05-18 09:47:33|-290|34
S-SA-AL1|2017-05-18 09:47:47|-303|33
S-SA-AL1|2017-05-18 09:48:01|-326|33
S-SA-AL1|2017-05-18 09:48:15|-342|30
S-SA-AL1|2017-05-18 09:48:29|-359|32
S-SA-AL1|2017-05-18 09:48:43|-306|31
S-SA-AL1|2017-05-18 09:48:57|-393|31
S-SA-AL1|2017-05-18 09:49:11|-400|34
S-SA-AL1|2017-05-18 09:49:25|-347|30
S-SA-AL1|2017-05-18 09:49:39|-366|33
S-SA-AL1|2017-05-18 09:49:53|-383|31
S-SA-AL1|2017-05-18 09:50:07|-262|32
S-SA-AL1|2017-05-18 09:50:21|-275|30
S-SA-AL1|2017-05-18 09:50:34|-364|33
S-SA-AL1|2017-05-18 09:50:48|-382|32
S-SA-AL1|2017-05-18 09:51:02|-400|31
S-SA-AL1|2017-05-18 09:51:16|-350|34
S-SA-AL1|2017-05-18 09:51:30|-294|30
S-SA-AL1|2017-05-18 09:51:44|-380|31
S-SA-AL1|2017-05-18 09:51:58|-325|33
S-SA-AL1|2017-05-18 09:52:12|-272|33
S-SA-AL1|2017-05-18 09:52:26|-359|32
S-SA-AL1|2017-05-18 09:52:40|-372|33
S-SA-AL1|2017-05-18 09:52:54|-319|31
S-SA-AL1|2017-05-18 09:53:08|-266|31
S-SA-AL1|2017-05-18 09:53:22|-351|33
S-SA-AL1|2017-05-18 09:53:36|-369|32
S-SA-AL1|2017-05-18 09:53:50|-385|32
S-SA-AL1|2017-05-18 09:54:04|-333|33
S-SA-AL1|2017-05-18 09:54:18|-349|30
S-SA-AL1|2017-05-18 09:54:32|-365|30
S-SA-AL1|2017-05-18 09:54:46|-384|34
S-SA-AL1|2017-05-18 09:54:59|-399|34
S-SA-AL1|2017-05-18 09:55:13|-344|30
S-SA-AL1|2017-05-18 09:55:27|-359|30
S-SA-AL1|2017-05-18 09:55:41|-307|31
S-SA-AL1|2017-05-18 09:55:55|-394|31
S-SA-AL1|2017-05-18 09:56:09|-270|31
S-SA-AL1|2017-05-18 09:56:23|-289|30
S-SA-AL1|2017-05-18 09:56:37|-304|33
S-SA-AL1|2017-05-18 09:56:51|-388|34
S-SA-AL1|2017-05-18 09:57:05|-335|33
S-SA-AL1|2017-05-18 09:57:19|-348|33
S-SA-AL1|2017-05-18 09:57:33|-295|34
S-SA-AL1|2017-05-18 09:57:47|-382|32
S-SA-AL1|2017-05-18 09:58:01|-326|32
S-SA-AL1|2017-05-18 09:58:15|-273|32
S-SA-AL1|2017-05-18 09:58:29|-360|30
S-SA-AL1|2017-05-18 09:58:43|-305|32
S-SA-AL1|2017-05-18 09:58:57|-323|34
S-SA-AL1|2017-05-18 09:59:11|-339|34
S-SA-AL1|2017-05-18 09:59:25|-283|30
S-SA-AL1|2017-05-18 09:59:39|-302|34
S-SA-AL1|2017-05-18 09:59:53|-389|30
S-SA-AL1|2017-05-18 10:00:08|-333|34
S-SA-AL1|2017-05-18 10:00:23|-270|33
S-SA-AL1|2017-05-18 10:00:37|-286|33
S-SA-AL1|2017-05-18 10:00:51|-305|32
S-SA-AL1|2017-05-18 10:01:05|-314|34
S-SA-AL1|2017-05-18 10:01:19|-330|34
S-SA-AL1|2017-05-18 10:01:33|-273|31
S-SA-AL1|2017-05-18 10:01:47|-285|34
S-SA-AL1|2017-05-18 10:02:01|-371|30
S-SA-AL1|2017-05-18 10:02:15|-383|34
S-SA-AL1|2017-05-18 10:02:29|-398|34
S-SA-AL1|2017-05-18 10:02:43|-276|31
S-SA-AL1|2017-05-18 10:02:57|-291|33
S-SA-AL1|2017-05-18 10:03:11|-374|30
S-SA-AL1|2017-05-18 10:03:25|-382|30
S-SA-AL1|2017-05-18 10:03:39|-396|33
S-SA-AL1|2017-05-18 10:03:53|-343|31
S-SA-AL1|2017-05-18 10:04:07|-290|34
S-SA-AL1|2017-05-18 10:04:21|-303|30
S-SA-AL1|2017-05-18 10:04:35|-321|32
S-SA-AL1|2017-05-18 10:04:49|-333|33
S-SA-AL1|2017-05-18 10:05:03|-280|31
S-SA-AL1|2017-05-18 10:05:17|-353|34
S-SA-AL1|2017-05-18 10:05:31|-369|34
S-SA-AL1|2017-05-18 10:05:45|-388|33
S-SA-AL1|2017-05-18 10:05:59|-263|30
S-SA-AL1|2017-05-18 10:06:13|-350|34
S-SA-AL1|2017-05-18 10:06:27|-362|34
S-SA-AL1|2017-05-18 10:06:41|-306|34
S-SA-AL1|2017-05-18 10:06:55|-324|30
S-SA-AL1|2017-05-18 10:07:09|-336|34
S-SA-AL1|2017-05-18 10:07:23|-351|32
S-SA-AL1|2017-05-18 10:07:37|-297|33
S-SA-AL1|2017-05-18 10:07:51|-380|30
S-SA-AL1|2017-05-18 10:08:05|-322|34
S-SA-AL1|2017-05-18 10:08:19|-266|34
S-SA-AL1|2017-05-18 10:08:33|-278|32
S-SA-AL1|2017-05-18 10:08:47|-364|33
S-SA-AL1|2017-05-18 10:09:02|-370|34
S-SA-AL1|2017-05-18 10:09:16|-306|30
S-SA-AL1|2017-05-18 10:09:30|-321|33
S-SA-AL1|2017-05-18 10:09:44|-261|31
S-SA-AL1|2017-05-18 10:09:58|-347|32
S-SA-AL1|2017-05-18 10:10:12|-289|34
S-SA-AL1|2017-05-18 10:10:26|-294|30
S-SA-AL1|2017-05-18 10:10:40|-309|33
S-SA-AL1|2017-05-18 10:10:55|-392|32
S-SA-AL1|2017-05-18 10:11:09|-263|34
S-SA-AL1|2017-05-18 10:11:23|-278|31
S-SA-AL1|2017-05-18 10:11:37|-273|30
S-SA-AL1|2017-05-18 10:11:51|-355|30
S-SA-AL1|2017-05-18 10:12:05|-370|32
S-SA-AL1|2017-05-18 10:12:20|-371|34
S-SA-AL1|2017-05-18 10:12:34|-381|31
S-SA-AL1|2017-05-18 10:12:48|-396|31
S-SA-AL1|2017-05-18 10:13:02|-343|32
S-SA-AL1|2017-05-18 10:13:16|-358|32
S-SA-AL1|2017-05-18 10:13:30|-373|34
S-SA-AL1|2017-05-18 10:13:44|-389|34
S-SA-AL1|2017-05-18 10:13:58|-269|31
S-SA-AL1|2017-05-18 10:14:12|-348|34
S-SA-AL1|2017-05-18 10:14:26|-295|30
S-SA-AL1|2017-05-18 10:14:40|-309|30
S-SA-AL1|2017-05-18 10:14:54|-321|31
S-SA-AL1|2017-05-18 10:15:08|-262|31
S-SA-AL1|2017-05-18 10:15:22|-277|34
S-SA-AL1|2017-05-18 10:15:36|-361|33
S-SA-AL1|2017-05-18 10:15:50|-304|30
S-SA-AL1|2017-05-18 10:16:04|-315|31
S-SA-AL1|2017-05-18 10:16:18|-329|32
S-SA-AL1|2017-05-18 10:16:32|-272|34
S-SA-AL1|2017-05-18 10:16:46|-287|31
S-SA-AL1|2017-05-18 10:17:00|-370|33
S-SA-AL1|2017-05-18 10:17:14|-384|34
S-SA-AL1|2017-05-18 10:17:28|-399|31
S-SA-AL1|2017-05-18 10:17:42|-342|33
S-SA-AL1|2017-05-18 10:17:56|-286|33
S-SA-AL1|2017-05-18 10:18:10|-297|34
S-SA-AL1|2017-05-18 10:18:24|-383|30
S-SA-AL1|2017-05-18 10:18:38|-394|34
S-SA-AL1|2017-05-18 10:18:52|-265|33
S-SA-AL1|2017-05-18 10:19:06|-280|30
S-SA-AL1|2017-05-18 10:19:21|-367|31
S-SA-AL1|2017-05-18 10:19:35|-378|30
S-SA-AL1|2017-05-18 10:19:49|-325|31
S-SA-AL1|2017-05-18 10:20:03|-268|33
S-SA-AL1|2017-05-18 10:20:17|-279|31
S-SA-AL1|2017-05-18 10:20:31|-297|33
S-SA-AL1|2017-05-18 10:20:45|-377|31
S-SA-AL1|2017-05-18 10:20:59|-393|31
S-SA-AL1|2017-05-18 10:21:13|-268|34
S-SA-AL1|2017-05-18 10:21:27|-355|32
S-SA-AL1|2017-05-18 10:21:41|-367|31
S-SA-AL1|2017-05-18 10:21:55|-313|32
S-SA-AL1|2017-05-18 10:22:09|-396|31
S-SA-AL1|2017-05-18 10:22:23|-339|33
S-SA-AL1|2017-05-18 10:22:37|-286|31
S-SA-AL1|2017-05-18 10:22:51|-298|30
S-SA-AL1|2017-05-18 10:23:05|-313|32
S-SA-AL1|2017-05-18 10:23:19|-395|32
S-SA-AL1|2017-05-18 10:23:33|-342|33
S-SA-AL1|2017-05-18 10:23:47|-284|33
S-SA-AL1|2017-05-18 10:24:01|-299|31
S-SA-AL1|2017-05-18 10:24:15|-382|33
S-SA-AL1|2017-05-18 10:24:29|-322|30
S-SA-AL1|2017-05-18 10:24:43|-264|30
S-SA-AL1|2017-05-18 10:24:57|-279|33
S-SA-AL1|2017-05-18 10:25:11|-293|33
S-SA-AL1|2017-05-18 10:25:25|-308|31
S-SA-AL1|2017-05-18 10:25:39|-321|32
S-SA-AL1|2017-05-18 10:25:53|-336|34
S-SA-AL1|2017-05-18 10:26:07|-282|30
S-SA-AL1|2017-05-18 10:26:21|-365|32
S-SA-AL1|2017-05-18 10:26:35|-307|32
S-SA-AL1|2017-05-18 10:26:49|-389|32
S-SA-AL1|2017-05-18 10:27:03|-332|34
S-SA-AL1|2017-05-18 10:27:18|-275|34
S-SA-AL1|2017-05-18 10:27:32|-354|32
S-SA-AL1|2017-05-18 10:27:46|-301|33
S-SA-AL1|2017-05-18 10:28:00|-384|30
S-SA-AL1|2017-05-18 10:28:14|-398|30
S-SA-AL1|2017-05-18 10:28:28|-269|31
S-SA-AL1|2017-05-18 10:28:42|-283|32
S-SA-AL1|2017-05-18 10:28:56|-295|30
S-SA-AL1|2017-05-18 10:29:10|-309|31
S-SA-AL1|2017-05-18 10:29:24|-320|32
S-SA-AL1|2017-05-18 10:29:38|-335|32
S-SA-AL1|2017-05-18 10:29:52|-345|31
S-SA-AL1|2017-05-18 10:30:06|-287|31
S-SA-AL1|2017-05-18 10:30:20|-370|31
S-SA-AL1|2017-05-18 10:30:34|-381|32
S-SA-AL1|2017-05-18 10:30:49|-320|33
S-SA-AL1|2017-05-18 10:31:03|-265|32
S-SA-AL1|2017-05-18 10:31:17|-345|34
S-SA-AL1|2017-05-18 10:31:31|-290|33
S-SA-AL1|2017-05-18 10:31:45|-290|31
S-SA-AL1|2017-05-18 10:31:59|-369|31
S-SA-AL1|2017-05-18 10:32:13|-315|30
S-SA-AL1|2017-05-18 10:32:27|-326|31
S-SA-AL1|2017-05-18 10:32:42|-264|32
S-SA-AL1|2017-05-18 10:32:56|-269|31
S-SA-AL1|2017-05-18 10:33:10|-347|34
S-SA-AL1|2017-05-18 10:33:24|-357|31
S-SA-AL1|2017-05-18 10:33:38|-298|31
S-SA-AL1|2017-05-18 10:33:53|-376|34
S-SA-AL1|2017-05-18 10:34:07|-383|32
S-SA-AL1|2017-05-18 10:34:21|-323|30
S-SA-AL1|2017-05-18 10:34:35|-328|30
S-SA-AL1|2017-05-18 10:34:49|-338|32
S-SA-AL1|2017-05-18 10:35:04|-276|33
S-SA-AL1|2017-05-18 10:35:18|-285|30
S-SA-AL1|2017-05-18 10:35:32|-363|31
S-SA-AL1|2017-05-18 10:35:46|-370|34
S-SA-AL1|2017-05-18 10:36:00|-311|34
S-SA-AL1|2017-05-18 10:36:14|-388|33
S-SA-AL1|2017-05-18 10:36:29|-397|30
S-SA-AL1|2017-05-18 10:36:43|-336|33
S-SA-AL1|2017-05-18 10:36:57|-277|33
S-SA-AL1|2017-05-18 10:37:11|-283|31
S-SA-AL1|2017-05-18 10:37:25|-360|30
S-SA-AL1|2017-05-18 10:37:40|-366|33
S-SA-AL1|2017-05-18 10:37:54|-304|34
S-SA-AL1|2017-05-18 10:38:08|-314|31
S-SA-AL1|2017-05-18 10:38:22|-395|31
S-SA-AL1|2017-05-18 10:38:36|-400|31
S-SA-AL1|2017-05-18 10:38:51|-269|33
S-SA-AL1|2017-05-18 10:39:05|-274|32
S-SA-AL1|2017-05-18 10:39:19|-280|32
S-SA-AL1|2017-05-18 10:39:33|-288|34
S-SA-AL1|2017-05-18 10:39:48|-293|32
S-SA-AL1|2017-05-18 10:40:02|-297|33
S-SA-AL1|2017-05-18 10:40:16|-303|34
S-SA-AL1|2017-05-18 10:40:30|-380|33
S-SA-AL1|2017-05-18 10:40:45|-386|30
S-SA-AL1|2017-05-18 10:40:59|-396|32
S-SA-AL1|2017-05-18 10:41:13|-337|32
S-SA-AL1|2017-05-18 10:41:27|-271|34
S-SA-AL1|2017-05-18 10:41:41|-352|32
S-SA-AL1|2017-05-18 10:41:56|-358|30
S-SA-AL1|2017-05-18 10:42:10|-297|34
S-SA-AL1|2017-05-18 10:42:24|-374|30
S-SA-AL1|2017-05-18 10:42:38|-383|34
S-SA-AL1|2017-05-18 10:42:53|-389|30
S-SA-AL1|2017-05-18 10:43:07|-393|33
S-SA-AL1|2017-05-18 10:43:21|-388|32
S-SA-AL1|2017-05-18 10:43:36|-393|30
S-SA-AL1|2017-05-18 10:43:50|-330|34
S-SA-AL1|2017-05-18 10:44:04|-268|30
S-SA-AL1|2017-05-18 10:44:18|-344|32
S-SA-AL1|2017-05-18 10:44:33|-352|34
S-SA-AL1|2017-05-18 10:44:47|-358|34
S-SA-AL1|2017-05-18 10:45:01|-292|34
S-SA-AL1|2017-05-18 10:45:15|-300|31
S-SA-AL1|2017-05-18 10:45:30|-377|30
S-SA-AL1|2017-05-18 10:45:44|-311|30
S-SA-AL1|2017-05-18 10:45:58|-388|34
S-SA-AL1|2017-05-18 10:46:12|-397|33
S-SA-AL1|2017-05-18 10:46:27|-334|32
S-SA-AL1|2017-05-18 10:46:41|-268|32
S-SA-AL1|2017-05-18 10:46:55|-348|30
S-SA-AL1|2017-05-18 10:47:09|-285|31
S-SA-AL1|2017-05-18 10:47:23|-287|30
S-SA-AL1|2017-05-18 10:47:38|-296|30
S-SA-AL1|2017-05-18 10:47:52|-302|30
S-SA-AL1|2017-05-18 10:48:06|-382|33
S-SA-AL1|2017-05-18 10:48:21|-310|30
S-SA-AL1|2017-05-18 10:48:35|-315|33
S-SA-AL1|2017-05-18 10:48:49|-389|33
